,row_index,function_type,degree,depth,num_layers,width,layer_width,num_variables,erm_num_samples,num_training_epochs,num_iter,net_type,train_batch_size,learning_rate,train_loss_initial,val_loss_initial,train_loss_final,val_loss_final
0,152,msp,8,d,8,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,1370.767890757129,1374.872769915266,0.0012340646485464735,0.006588533104664895
0,153,msp,8,d,8,d,8,32,8000,100,800000,ReLUResNet,20,0.01,1386.8134034022805,1482.6244185508367,0.00014276467546980864,0.0034982372544499762
0,154,msp,8,d,8,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,1546.5919385903107,1519.834097971645,0.03383249407875155,0.09020889417381994
0,155,msp,8,d,8,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,1654.5180668740068,1673.743521733908,0.682184064878129,1.9047960082934878
0,156,msp,12,two,2,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,9475.631354629993,9522.13759213686,7046.81534729898,7132.918617747724
0,157,msp,12,two,2,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,9452.791041493416,9467.516265898943,2644.8242235956714,2799.191382232355
0,158,msp,12,two,2,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,9713.706967234612,9771.647812217474,1109.8233543422539,1176.411017589795
0,159,msp,12,two,2,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,9936.151782780886,10224.34458693862,2441.792864358984,2993.0089588630944
0,16,parity,12,half_d,6,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,11963.963265955448,12082.655769884586,11496.153282940388,12485.280334711075
0,160,msp,12,half_d,6,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,3299.1069498485795,3251.3213880755775,66.1050142819355,115.66725082527972
0,161,msp,12,half_d,6,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,2581.8646801539,2509.819959418819,48.87914129899582,83.2183817855821
0,162,msp,12,half_d,6,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,3103.427949318444,3257.973154827123,24.928102525771465,91.76350405625999
0,163,msp,12,half_d,6,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,3595.936169000226,3829.5880892911227,12.461112152905116,98.13582501336714
0,164,msp,12,d,12,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,2650.1249825509985,2543.665064396904,20.86824273013508,65.71395795382614
0,165,msp,12,d,12,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,1683.399398145546,1764.0117202231231,18.637009169931844,115.04234465588138
0,166,msp,12,d,12,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,2075.8464570692013,2086.817442478059,6.895033600947045,48.5396039504144
0,167,msp,12,d,12,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,3427.2578234268585,4133.404818802548,7.779270981047375,125.609823514666
0,168,msp,16,two,2,half_d,8,32,16000,100,1600000,ReLUResNet,20,0.01,13566.520391076803,13658.023121327162,5166.489771285094,5290.610176810296
0,169,msp,16,two,2,d,16,32,16000,100,1600000,ReLUResNet,20,0.01,14005.701792150736,14053.713537156582,4213.498759102076,4277.328525838442
0,17,parity,12,half_d,6,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,11900.018494009972,12172.417500853539,10568.623044490814,13386.962949693203
0,170,msp,16,two,2,2d,32,32,16000,100,1600000,ReLUResNet,20,0.01,13536.773489564657,13608.024201959372,5013.417623771355,5431.461048751138
0,171,msp,16,two,2,4d,64,32,16000,100,1600000,ReLUResNet,20,0.01,14903.088389247656,15424.209732711315,4593.380550097674,5588.199180783704
0,172,msp,16,half_d,8,half_d,8,32,16000,100,1600000,ReLUResNet,20,0.01,2568.314276823099,2520.713328503285,24.015334913059206,40.00554112425124
0,173,msp,16,half_d,8,d,16,32,16000,100,1600000,ReLUResNet,20,0.01,3342.9792184693415,3343.2169578854428,42.74835517246595,102.47328302033367
0,174,msp,16,half_d,8,2d,32,32,16000,100,1600000,ReLUResNet,20,0.01,3346.8447233030893,3493.418904028498,37.61761636591655,150.63653320398953
0,175,msp,16,half_d,8,4d,64,32,16000,100,1600000,ReLUResNet,20,0.01,4713.277469562599,4907.704382964643,21.78804216327262,489.5066313546631
0,176,msp,16,d,16,half_d,8,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,177,msp,16,d,16,d,16,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,178,msp,16,d,16,2d,32,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,179,msp,16,d,16,4d,64,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,18,parity,12,half_d,6,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,11727.385720729828,12352.968307375908,7637.108285933733,16722.0256677866
0,180,half_msp,8,two,2,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,44910.189378619194,45331.54029917717,41284.222662210464,41926.85654985905
0,181,half_msp,8,two,2,d,8,32,8000,100,800000,ReLUResNet,20,0.01,37623.65001475811,38253.14592194557,14224.273261904716,15481.50376060605
0,182,half_msp,8,two,2,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,31548.429473936558,31818.699993163347,1125.360471561551,1214.4685395602137
0,183,half_msp,8,two,2,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,23831.314068078995,24417.19840604067,7.558444637135835,9.063044056441868
0,184,half_msp,8,half_d,4,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,27151.39735275507,27746.954641997814,13584.416766405106,14847.312205582857
0,185,half_msp,8,half_d,4,d,8,32,8000,100,800000,ReLUResNet,20,0.01,16411.944078862667,16438.158587686718,879.4087013974786,940.4936720263213
0,186,half_msp,8,half_d,4,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,12224.463088199496,12103.832338320091,0.02886030272475182,0.03290769615995259
0,187,half_msp,8,half_d,4,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,10153.662433377234,10349.561732431874,0.09164882830680199,0.13682710923035302
0,188,half_msp,8,d,8,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,24646.09511220455,24589.267638742924,6649.06057228148,6543.700679387897
0,189,half_msp,8,d,8,d,8,32,8000,100,800000,ReLUResNet,20,0.01,8962.91533813253,9068.742999795824,33.59792503667995,36.52188500913326
0,19,parity,12,half_d,6,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,11496.430019944906,12639.125582516193,1804.0996267087758,26573.06615114212
0,190,half_msp,8,d,8,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,7460.386299847858,7688.874123734888,4.962954501386285e-05,5.9657905345789075e-05
0,191,half_msp,8,d,8,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,7887.216636795783,8232.841452361405,0.015874702118296113,0.03920787312806695
0,192,half_msp,12,two,2,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,95043.08305346966,96128.90423178673,80178.56116807461,82555.33950972557
0,193,half_msp,12,two,2,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,91963.60917246342,94931.25636422634,51548.945670604706,54625.25085455179
0,194,half_msp,12,two,2,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,92542.98214316368,96780.41866409779,30662.372578382492,34586.04357820749
0,195,half_msp,12,two,2,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,90176.68183660507,99137.0547593832,11075.580544620752,15177.061495095491
0,196,half_msp,12,half_d,6,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,67483.86183810234,67449.75263893604,19812.39635166526,22169.879545360804
0,197,half_msp,12,half_d,6,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,60002.03916054964,61516.34528070688,4287.627144385129,5646.8221321702
0,198,half_msp,12,half_d,6,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,54002.17634892464,55780.11971846223,421.8058130205609,847.2415912155993
0,199,half_msp,12,half_d,6,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,38123.34404478222,41824.37635524571,78.44986961281393,511.14207346132025
0,2,parity,8,two,2,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,7940.234855353832,8076.355146467686,7266.269805252552,8745.341162800789
0,20,parity,12,d,12,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,11997.125829935074,12229.48931246996,11381.481250405312,12607.907942175865
0,200,half_msp,12,d,12,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,79005.94655966759,78084.68811166286,33656.6671487689,35413.14902162552
0,201,half_msp,12,d,12,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,93085.8137024641,94982.55944490433,28173.676753401756,31928.430186241865
0,202,half_msp,12,d,12,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,85970.78236317635,92115.13555908203,1134.0370089616627,2394.3098582504317
0,203,half_msp,12,d,12,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,52797.10735929012,59103.82926252484,313.90192399639636,1858.9564244793728
0,204,half_msp,16,two,2,half_d,8,32,16000,100,1600000,ReLUResNet,20,0.01,165379.64314508438,163382.84320819378,156836.8358938694,158118.74067902565
0,205,half_msp,16,two,2,d,16,32,16000,100,1600000,ReLUResNet,20,0.01,159621.80930566788,163791.72016716003,78481.14838302135,82386.53279304504
0,206,half_msp,16,two,2,2d,32,32,16000,100,1600000,ReLUResNet,20,0.01,158423.75678682327,166908.44162023067,99115.76898646355,117811.98607051373
0,207,half_msp,16,two,2,4d,64,32,16000,100,1600000,ReLUResNet,20,0.01,161753.0422797203,170074.98512363434,127165.64384055138,196911.76857972145
0,208,half_msp,16,half_d,8,half_d,8,32,16000,100,1600000,ReLUResNet,20,0.01,160262.01123690605,156269.5666053295,142139.50097322464,154509.36287093163
0,209,half_msp,16,half_d,8,d,16,32,16000,100,1600000,ReLUResNet,20,0.01,157017.3841559887,159616.08383989334,118449.7074213028,179209.3357436657
0,21,parity,12,d,12,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,11991.205298841,12423.68108767271,10965.461625039577,13056.528616189957
0,210,half_msp,16,half_d,8,2d,32,32,16000,100,1600000,ReLUResNet,20,0.01,147517.74143362045,156476.28469586372,12893.602342501283,44007.92569825053
0,211,half_msp,16,half_d,8,4d,64,32,16000,100,1600000,ReLUResNet,20,0.01,139682.6283055544,186345.6520190239,135.46013511472847,376821.39957523346
0,212,half_msp,16,d,16,half_d,8,32,16000,100,1600000,ReLUResNet,20,0.01,155247.32566308975,157741.4408146143,136729.14665794373,154092.2570681572
0,213,half_msp,16,d,16,d,16,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,214,half_msp,16,d,16,2d,32,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,215,half_msp,16,d,16,4d,64,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,216,random,8,two,2,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,72163.72512757778,70383.99608302116,57008.418509960175,57935.698231220245
0,217,random,8,two,2,d,8,32,8000,100,800000,ReLUResNet,20,0.01,31213.61152893305,29795.696888148785,17183.19256091118,16378.464269086719
0,218,random,8,two,2,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,15224.827739203349,14929.769560382236,0.6900910003387253,0.7571281041618931
0,219,random,8,two,2,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,14187.420810279145,14470.828257765155,0.06723473196075247,0.1105725599068137
0,22,parity,12,d,12,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,11772.743789672852,12764.111805260181,7786.282926917076,16634.983227670193
0,220,random,8,half_d,4,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,46768.340148985386,45308.94078797102,27485.844308018684,26895.154026269913
0,221,random,8,half_d,4,d,8,32,8000,100,800000,ReLUResNet,20,0.01,11573.808618335053,11445.359771484975,3.330422495600942,3.4824234921179595
0,222,random,8,half_d,4,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,7177.1960577556165,7090.00027603528,0.4910656708020724,0.5784212620551443
0,223,random,8,half_d,4,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,6006.061927194081,5797.260362355446,0.06852521441476256,0.09911927528389697
0,224,random,8,d,8,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,43614.66401189566,45775.60100275278,19475.929748535156,20314.55019247532
0,225,random,8,d,8,d,8,32,8000,100,800000,ReLUResNet,20,0.01,8108.513181156246,8337.192964566406,0.009226791305714244,0.009663396323691842
0,226,random,8,d,8,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,5231.243752686245,4955.60831962018,0.12844872845028021,0.1392088715704176
0,227,random,8,d,8,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,5715.9875926749955,5402.47149146421,0.23370584673511985,0.4387180792837171
0,23,parity,12,d,12,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,12916.605565011501,15040.047082543373,6222.723114907742,19067.2992156744
0,24,parity,16,two,2,half_d,8,32,16000,100,1600000,ReLUResNet,20,0.01,15981.585324704647,16061.049792587757,15598.052796304226,16407.36731272936
0,25,parity,16,two,2,d,16,32,16000,100,1600000,ReLUResNet,20,0.01,15923.394776642323,16124.221034705639,15178.149105250835,16809.238748073578
0,26,parity,16,two,2,2d,32,32,16000,100,1600000,ReLUResNet,20,0.01,15920.836788415909,16171.541824817657,14649.281616687775,17287.815476715565
